Identifier,MergeCode,Country,ISO,Source,Calendar year (nearest),Problem 1: Data Not Credible,Problem 2: Cannot Exclude Resource Revenue Tax Categories,Problem 3: Data is of Questionable Analytical Comparability,Problem 4: Cannot Exclude Resource Revenue from Sub-Components of Total Tax Revenue,"Treat with Caution 1: Un-excluded Resource Revenue are Marginal, but Non-Negligible",Treat With Caution 2: Data of somewhat questionable quality,Revenue including social contributions,Revenue excluding social contributions,Revenue excluding Grants (including social contributions),Revenue excluding grants and social contributions,Total Resource Revenue,Total Non-Resource Revenue including social contributions,Taxes including social contributions,Taxes excluding social contributions,Resource taxes,Non-Resource tax including social contributions,Non-resource tax excluding social contributions,Direct taxes including social contributions and resource revenue,"Direct taxes including social contributions, excluding resource revenue","Direct taxes excluding social contributions, including resource revenue",Direct taxes excluding social contributions and resource revenue,"Taxes on income, profits, and capital gains ","Resource Component of Taxes on income, profits, and capital gains","Non-resource component of taxes on income, profits, and capital gains",Individuals ,Corporations and other enterprises ,Resource Component of Corporations and other enterprises,Non-resource component of Corporations and other enterprises,Taxes on payroll and workforce,Taxes on property,Indirect,Resource Component of Indirect,Non-Resource Component of Indirect Tax,"Taxes on goods and services,                Total","Taxes on goods and services, of which Taxes on Sales","Taxes on goods and services, of which Excises","Taxes on international trade and transactions, Total",Taxes on international trade and transactions Of which Import,Taxes on international trade and transactions Of which Export,Other taxes,Consolidated Non-Tax Revenue,Non-Resource Component of Non-Tax,Resources Component of Non-Tax,Social contributions,Grants,.,TotRev,TotTax,TotNonTax,Direct,Income,Indiv,Corp,Indirect,GS,Trade,Prob1,Prob2,Prob3,Prob4,twc1,twc2,,
,,Aruba,ABW,,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,1984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,1986,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,1992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,1993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,1996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,1997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,2002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,2003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,2004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,2006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Aruba,ABW,,2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Andorra,ADO,,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
